# timestamp;hostname;version;nRanks;rankNo;durationComputeMappingBetweenMeshes;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationWriteOutput;n;durationWriteOutputParaview;n;durationWriteOutputPythonFile;n;nonlinear;n;nonlinear_durationSolve;n;anonymous0_preconditionerType;anonymous0_solverType;exit;exit_signal;memoryData;memoryPage;memoryResidentSet;memoryVirtual;meta_n_unknowns;nDofs;nElements;nNodes;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;
2021/4/14 20:34:48;ipvs-epyc2;opendihu 1.2, built Apr 14 2021, C++ 201703, GCC 10.2.0;3;0;0.00209643;13;6.18794e-05;25;3.51514e-05;1;7.55317e-05;1;0.000324371;5;5.71818e-05;6;0.000212437;5;1.5371e-05;6;0.0466043;5;0.00455227;9;0.00449304;3;0.0205936;5;0.0473088;5;1.54502e-05;1;0.0795662;5;0.0473509;5;0.0322003;4;0.203732;1;0.15487;1;lu;preonly;normal;;55861248;4096;74719232;377999360;999;325;24;325;analytic_jacobian;0.43;13;12;13;
2021/4/14 20:34:48;ipvs-epyc2;opendihu 1.2, built Apr 14 2021, C++ 201703, GCC 10.2.0;3;1;0.00225238;13;3.68035e-05;25;3.54107e-05;1;9.5902e-05;1;0.000238216;5;3.77223e-05;6;0.000200915;5;1.20802e-05;6;0.046097;5;0.00461657;9;0.00455946;3;0.0205742;5;0.0467009;5;1.468e-05;1;0.0793521;5;0.0467337;5;0.0326059;4;0.203735;1;0.154812;1;lu;preonly;normal;;57274368;4096;76296192;379412480;999;325;24;325;analytic_jacobian;0.43;13;12;13;
2021/4/14 20:34:48;ipvs-epyc2;opendihu 1.2, built Apr 14 2021, C++ 201703, GCC 10.2.0;3;2;0.00330866;13;1.77883e-05;25;3.45097e-05;1;4.82108e-05;1;0.000306979;5;4.30332e-05;6;0.000242169;5;1.16406e-05;6;0.0383707;5;0.00031503;9;0.000256628;3;0.0206374;5;0.0391254;5;1.71098e-05;1;0.079686;5;0.0391598;5;0.0405124;4;0.203726;1;0.154704;1;lu;preonly;normal;;58580992;4096;75423744;380719104;999;325;24;325;analytic_jacobian;0.43;13;12;13;
# timestamp;hostname;version;nRanks;rankNo;durationComputeMappingBetweenMeshes;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationWriteOutput;n;durationWriteOutputParaview;n;durationWriteOutputPythonFile;n;nonlinear;n;nonlinear_durationSolve;n;anonymous0_preconditionerType;anonymous0_solverType;exit;exit_signal;memoryData;memoryPage;memoryResidentSet;memoryVirtual;meta_n_unknowns;nDofs;nElements;nNodes;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;
2021/4/14 20:34:52;ipvs-epyc2;opendihu 1.2, built Apr 14 2021, C++ 201703, GCC 10.2.0;3;0;0.00206082;13;6.66035e-05;25;4.18518e-05;1;7.67922e-05;1;0.00034468;5;5.3742e-05;6;0.000207087;5;1.44914e-05;6;0.0471004;5;0.00281414;9;0.00275451;3;0.0197103;5;0.047834;5;1.40597e-05;1;0.0827036;5;0.0478741;5;0.0348097;4;3.55389;1;3.50556;1;lu;preonly;normal;;53399552;4096;72736768;375537664;999;325;24;325;numeric_jacobian;3.74;13;12;13;
2021/4/14 20:34:52;ipvs-epyc2;opendihu 1.2, built Apr 14 2021, C++ 201703, GCC 10.2.0;3;1;0.00223785;13;3.45116e-05;25;4.37209e-05;1;9.09031e-05;1;0.000308747;5;3.84608e-05;6;0.000202766;5;1.10003e-05;6;0.0474356;5;0.00416391;9;0.00410665;3;0.0197286;5;0.0481115;5;3.46913e-05;1;0.0824948;5;0.0481457;5;0.0343343;4;3.5539;1;3.50549;1;lu;preonly;normal;;50720768;4096;71495680;372858880;999;325;24;325;numeric_jacobian;3.71;13;12;13;
2021/4/14 20:34:52;ipvs-epyc2;opendihu 1.2, built Apr 14 2021, C++ 201703, GCC 10.2.0;3;2;0.00324619;13;1.67438e-05;25;4.24311e-05;1;4.49312e-05;1;0.000386083;5;5.0752e-05;6;0.000241276;5;1.26404e-05;6;0.0403729;5;0.00135601;9;0.00129542;3;0.0197531;5;0.0412127;5;1.43698e-05;1;0.0828413;5;0.0412456;5;0.0415781;4;3.5539;1;3.50538;1;lu;preonly;normal;;59097088;4096;73699328;381235200;999;325;24;325;numeric_jacobian;3.72;13;12;13;
# timestamp;hostname;version;nRanks;rankNo;durationComputeMappingBetweenMeshes;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationWriteOutput;n;durationWriteOutputParaview;n;durationWriteOutputPythonFile;n;nonlinear;n;nonlinear_durationSolve;n;anonymous0_preconditionerType;anonymous0_solverType;exit;exit_signal;memoryData;memoryPage;memoryResidentSet;memoryVirtual;meta_n_unknowns;nDofs;nElements;nNodes;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;
2021/4/14 20:34:53;ipvs-epyc2;opendihu 1.2, built Apr 14 2021, C++ 201703, GCC 10.2.0;4;0;0.00202755;13;5.73499e-05;25;4.79822e-05;1;7.5222e-05;1;0.000335563;5;6.51116e-05;6;0.000215217;5;1.91904e-05;6;0.0500192;5;0.000510756;9;0.000439244;3;0.0235318;5;0.0507444;5;0.000147154;1;0.0853938;5;0.0508058;5;0.034568;4;0.215447;1;0.162112;1;lu;preonly;normal;;57786368;4096;74493952;384122880;1307;425;32;425;analytic_jacobian;0.43;17;16;17;
2021/4/14 20:34:53;ipvs-epyc2;opendihu 1.2, built Apr 14 2021, C++ 201703, GCC 10.2.0;4;1;0.00226089;13;3.74494e-05;25;4.55808e-05;1;9.60133e-05;1;0.000252559;5;3.86522e-05;6;0.000207067;5;1.13817e-05;6;0.0500452;5;0.000836365;9;0.000777103;3;0.0235336;5;0.0506733;5;0.000177135;1;0.0842373;5;0.0507035;5;0.0335205;4;0.215455;1;0.163072;1;lu;preonly;normal;;58421248;4096;75407360;384757760;1307;425;32;425;analytic_jacobian;0.46;17;16;17;
2021/4/14 20:34:53;ipvs-epyc2;opendihu 1.2, built Apr 14 2021, C++ 201703, GCC 10.2.0;4;2;0.00261082;13;1.84099e-05;25;5.69113e-05;1;9.5583e-05;1;0.000280761;5;4.47109e-05;6;0.000168614;5;1.28094e-05;6;0.0517223;5;0.000836756;9;0.000783294;3;0.0235333;5;0.052313;5;8.18959e-06;1;0.0842691;5;0.0523522;5;0.0319036;4;0.215451;1;0.163048;1;lu;preonly;normal;;57757696;4096;75837440;384094208;1307;425;32;425;analytic_jacobian;0.44;17;16;17;
2021/4/14 20:34:53;ipvs-epyc2;opendihu 1.2, built Apr 14 2021, C++ 201703, GCC 10.2.0;4;3;0.00321521;13;1.729e-05;25;2.3141e-05;1;5.09913e-05;1;0.000335349;5;4.6521e-05;6;0.000237577;5;1.21002e-05;6;0.0454242;5;0.00027954;9;0.000220947;3;0.0235756;5;0.046199;5;0.000152575;1;0.0847244;5;0.0462369;5;0.0384726;4;0.215532;1;0.162947;1;lu;preonly;normal;;60907520;4096;74809344;387244032;1307;425;32;425;analytic_jacobian;0.44;17;16;17;
# timestamp;hostname;version;nRanks;rankNo;durationComputeMappingBetweenMeshes;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationWriteOutput;n;durationWriteOutputParaview;n;durationWriteOutputPythonFile;n;nonlinear;n;nonlinear_durationSolve;n;anonymous0_preconditionerType;anonymous0_solverType;exit;exit_signal;memoryData;memoryPage;memoryResidentSet;memoryVirtual;meta_n_unknowns;nDofs;nElements;nNodes;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;
2021/4/14 20:34:58;ipvs-epyc2;opendihu 1.2, built Apr 14 2021, C++ 201703, GCC 10.2.0;4;0;0.00204856;13;6.45081e-05;25;4.2371e-05;1;8.8823e-05;1;0.00032303;5;5.33005e-05;6;0.000203325;5;1.33696e-05;6;0.0515928;5;0.00417096;9;0.00411168;3;0.0231834;5;0.0522874;5;1.22511e-05;1;0.0857844;5;0.0523257;5;0.0334393;4;4.65985;1;4.60892;1;lu;preonly;normal;;54054912;4096;73490432;380391424;1307;425;32;425;numeric_jacobian;4.85;17;16;17;
