# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationComputeMappingBetweenMeshes;n;durationInitCellml;n;durationMap;n;durationMapFinalize;n;durationMapPrepare;n;durationParaview1D;n;durationParaview1DInit;n;durationParaview1DReduction;n;durationParaview1DWrite;n;durationParaview2D;n;durationParaview2D3DInit;n;durationParaview3D;n;durationParaview3DInit;n;durationParaview3DReduction;n;durationParaview3DWrite;n;durationParaviewOutput;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_activationSolver;n;durationSolve_potentialFlowSolver;n;durationWriteOutput;n;durationWriteOutputParaview;n;duration_0D;n;duration_1D;n;duration_bidomain;n;duration_subdomains_xy_init;n;duration_subdomains_z_init;n;duration_total;n;duration_total_advanceTimeSpan1;n;duration_total_advanceTimeSpan2;n;duration_total_transfer12;n;duration_total_transfer21;n;activationSolver_preconditionerType;activationSolver_solverType;currentSimulationTime;dt_0D;dt_1D;dt_3D;dt_splitting;duration_subdomains_xy_n;duration_subdomains_z_n;endTime;exit;exit_signal;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;meta_partitioning;nInstancesComputedGlobally;nIterations_activationSolver;nIterations_potentialFlowSolver;potentialFlowSolver_preconditionerType;potentialFlowSolver_solverType;residualNorm_activationSolver;residualNorm_potentialFlowSolver;scenarioName;totalUsertime;~nDofs;~nDofs3Dmesh;~nDofsFiber0;~nElements;~nElements3Dmesh;~nElementsFiber0;~nNodes;~nNodes3Dmesh;~nNodesFiber0;nIterationsTotal_activationSolver;nIterationsTotal_potentialFlowSolver;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;11;0.00618579;9;0.0237845;6;21.7911;6;0.113976;600;0.337351;100;0.0403578;100;1347.51;100;18.3;3;18.2999;1;1.09293;100;0.00026687;100;1.932e-06;2;0.00181258;100;4.2168e-05;2;0.0;0;0.0;0;1347.51;100;0.335307;1;2.665e-06;9;0.0386756;9;0.473722;100;0.0169655;1;1347.51;213;1347.51;200;895.344;800000;18.7301;360000;0.511618;100;21.9004;1;21.8643;1;2378.3;1;2377.01;100;0.512236;100;0.77871;100;0.00128972;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;6;10;normal;;none;cg;91119616;4096;106663936;630431744;[3, 3, 3];6;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2433.8;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;12;0.00618236;9;0.0227976;6;20.3537;6;0.11121;600;0.386864;100;0.0401793;100;1505.92;100;18.3002;3;18.3001;1;1.09275;100;0.00038132;100;1.1119e-05;2;0.00156742;100;4.1848e-05;2;0.0;0;0.0;0;1505.93;100;0.157731;1;2.972e-06;9;0.0404636;9;0.472419;100;0.0169027;1;1505.93;213;1505.93;200;835.307;800000;19.2113;360000;0.494286;100;20.4583;1;20.4247;1;2378.3;1;2377;100;0.494883;100;0.797417;100;0.00129093;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;6;10;normal;;none;cg;91144192;4096;106668032;630456320;[3, 3, 3];6;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2434.13;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;13;0.0061834;7;0.0131476;4;21.9833;4;0.0730674;400;0.479723;100;0.0425066;100;1474.68;100;18.3001;3;18.3001;1;1.09289;100;0.000180551;100;1.442e-06;2;0.0016093;100;2.6576e-05;2;0.0;0;0.0;0;1474.68;100;0.148094;1;2.666e-06;7;0.0352162;7;0.469718;100;0.016846;1;1474.69;209;1474.69;200;443.978;800000;9.74423;360000;0.493308;100;22.0506;1;22.0314;1;2378.3;1;2377.01;100;0.494095;100;0.79764;100;0.000970809;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;4;10;normal;;none;cg;76705792;4096;93626368;616017920;[3, 3, 3];4;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2434.11;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;14;0.00618289;7;0.0136404;4;19.7917;4;0.0934762;400;0.44519;100;0.0398609;100;1372.7;100;18.3002;3;18.3001;1;1.09262;100;0.000357543;100;5.75e-06;2;0.00146576;100;3.9412e-05;2;0.0;0;0.0;0;1372.7;100;0.303836;1;2.728e-06;7;0.0356897;7;0.471583;100;0.0169944;1;1372.7;209;1372.7;200;442.834;800000;9.88694;360000;0.515964;100;19.856;1;19.8359;1;2378.3;1;2377.01;100;0.516625;100;0.775569;100;0.000933449;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;4;10;normal;;none;cg;76664832;4096;93102080;615976960;[3, 3, 3];4;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2434.25;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;15;0.00618739;9;0.028277;6;20.2585;6;0.0964653;600;0.360063;100;0.0386645;100;1590.01;200;18.3002;5;18.3002;1;1.09347;100;0.2693;200;7.002e-06;4;0.0204919;200;0.000213241;5;0.000155389;1;0.136892;100;1590.33;200;0.32859;1;2.921e-06;9;0.0390343;9;0.4761;100;0.0170711;1;1590.34;313;1590.33;300;750.815;800000;15.6463;360000;0.516474;100;20.3749;1;20.3404;1;2378.3;1;2376.65;100;0.875554;100;0.774884;100;0.00144517;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;6;10;normal;;none;cg;98017280;4096;113901568;637329408;[3, 3, 3];6;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2432.83;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;16;0.00617896;7;0.0140963;4;16.8071;4;0.0903026;400;0.485291;100;0.0392988;100;1600.69;200;18.3006;5;18.3006;1;1.09271;100;0.26849;200;7.116e-06;4;0.0199165;200;0.000207677;5;0.00013997;1;0.136929;100;1601.02;200;0.287338;1;1.968e-06;7;0.0357949;7;0.472479;100;0.0169556;1;1601.02;309;1601.02;300;441.354;800000;9.50052;360000;0.519406;100;16.8932;1;16.8577;1;2378.3;1;2376.65;100;0.879217;100;0.772064;100;0.00100061;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;4;10;normal;;none;cg;83599360;4096;99762176;622911488;[3, 3, 3];4;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2433.91;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;17;0.00618224;7;0.00664142;4;21.3873;4;0.0772055;400;0.471589;100;0.041837;100;269.643;200;0.000484061;5;0.000430713;1;1.09368;100;0.269068;200;4.653e-06;4;0.0192466;200;0.000203655;5;0.000156902;1;0.13699;100;269.955;200;0.303261;1;2.722e-06;7;0.0359292;7;0.472918;100;0.0170785;1;269.962;309;269.96;300;350.677;800000;7.45545;360000;0.512616;100;21.4593;1;21.4376;1;2378.3;1;2376.66;100;0.861742;100;0.780815;100;0.00102168;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;4;10;normal;;none;cg;83533824;4096;99299328;622845952;[3, 3, 3];4;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2432.3;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;18;0.00621219;12;0.0756421;9;20.9159;9;0.162865;900;0.288328;100;0.00215863;100;904.443;100;18.3003;3;18.3002;1;1.09778;100;0.000609142;100;2.778e-06;2;0.00149092;100;7.2857e-05;2;0.0;0;0.0;0;904.447;100;0.133815;1;3.509e-06;12;0.042819;12;0.474994;100;0.01697;1;904.451;219;904.45;200;1143.59;800000;23.9576;360000;0.4916;100;21.0842;1;21.0303;1;2378.3;1;2377;100;0.492365;100;0.799405;100;0.00179785;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;9;10;normal;;none;cg;112328704;4096;128028672;651640832;[3, 3, 3];9;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2411.88;1481;775;1481;1480;480;1480;1481;775;1481;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;19;0.00619271;9;0.0173684;6;20.23;6;0.126525;600;0.346287;100;0.0378619;100;1479.62;100;18.3003;3;18.3003;1;1.09273;100;0.000424601;100;6.883e-06;2;0.00203607;100;6.1872e-05;2;0.0;0;0.0;0;1479.62;100;0.337588;1;3.167e-06;9;0.0384124;9;0.472756;100;0.0170227;1;1479.63;213;1479.63;200;861.086;800000;18.7185;360000;0.493489;100;20.3332;1;20.301;1;2378.3;1;2377.01;100;0.494071;100;0.796687;100;0.00129658;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;6;10;normal;;none;cg;90726400;4096;106442752;630038528;[3, 3, 3];6;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2415.07;1481;775;1480;480;1481;775;7500;296;
2021/1/19 21:05:56;argon-tesla2;opendihu 1.2, built Jan 19 2021, C++ 201402, GCC 11.0.0 20201227 (experimental);27;20;0.00618738;9;0.0299227;6;21.7845;6;0.0989512;600;0.421507;100;0.0400686;100;1347.5;100;18.3005;3;18.3004;1;1.09263;100;0.000630577;100;4.903e-06;2;0.00156016;100;4.3479e-05;2;0.0;0;0.0;0;1347.51;100;0.137888;1;3.102e-06;9;0.0385573;9;0.474547;100;0.0170504;1;1347.51;213;1347.51;200;770.752;800000;15.6388;360000;0.485884;100;21.8942;1;21.8569;1;2378.3;1;2377;100;0.48659;100;0.804911;100;0.00134955;100;none;cg;10.000000;2.5e-05;2.5e-05;0.1;2.5e-05;1;6;10;normal;;none;cg;90816512;4096;105689088;630128640;[3, 3, 3];6;74;296;none;gmres;0.0219294;6.02885e-10;tesla2-gpu-hybrid;2414.6;1481;775;1480;480;1481;775;7500;296;
