   1  -69.9705983835      -80.0913810217       5.90001877869       150.899999980       5.89999993683       12.6999999888       131.999996263       133.000000042      0.947678901325E-02  0.995199988908      0.370434153421E-01  0.497823348198      0.581000018292      0.946572601347E-02  0.995200126252      0.357556688622E-01  0.498108721134      0.581000040289     -0.150113203648E-04  0.187835329374E-07   0.00000000000       0.00000000000       0.00000000000      0.999639903680      0.375035934098E-03  0.529231663853E-07   0.00000000000       0.00000000000     -0.497494884673E-04  0.437354100635       1485.05730694      0.107380099678       1500.12060665       24.9920653819       615.000000000       615.000000000       811.000000000       811.000000000       16900.0007900       16900.0005029      0.367512649019      0.403409084701       7200.59274872       7200.59274872       799.039738632       799.003842196       999.407251281       999.407251281       2.99794629589      0.800052568414       1.20011616280       2.99987594590      0.299949491075      0.230004988550      0.230000046458      0.230000650324      0.229999349676     I_ion= -1126.59598651     H_y(t=t^{0,0,N})_tookSecs: 0.410000000000E-02
   2  -69.9643481971      -80.0935709352       5.90001890591       150.899999979       5.89999993902       12.6999999889       131.999996268       133.000000041      0.947524483206E-02  0.995199991693      0.369672757289E-01  0.497852803577      0.581000018292      0.946575792068E-02  0.995200109126      0.357611624426E-01  0.498107708232      0.581000040170     -0.329022625381E-05  0.117388531064E-07  0.677702384735E-11  0.155666375730E-14   0.00000000000      0.999627910593      0.375315004850E-03  0.528802525282E-07  0.248492167375E-11  0.292609945631E-16 -0.497494905089E-04  0.222538132345       1468.23409477      0.108228779473       1500.32532003       24.9920340701       615.000000000       615.000000000       811.000000000       811.000000000       16900.0013817       16900.0004955      0.384934902142      0.402774996887       7200.59275691       7200.59275781       799.022308188       799.004467196       999.407249433       999.407242129       2.99793669106      0.800052875739       1.20011631695       2.99987549806      0.299949488947      0.230004988600      0.230000046458      0.230000650324      0.229999349676     I_ion= -1126.53530433     H_y(t=t^{0,0,N})_tookSecs: 0.800000000000E-02
   4  -69.9628391658      -80.0940991768       5.90001893658       150.899999979       5.89999993954       12.6999999889       131.999996269       133.000000041      0.947488089562E-02  0.995199992356      0.369489451482E-01  0.497859709233      0.581000018290      0.946576560626E-02  0.995200105003      0.357624587763E-01  0.498107464197      0.581000040141      0.183924631419E-05  0.907120838119E-08  0.849398621309E-11  0.266494307828E-14  0.251043507417E-18  0.999622716412      0.375382389582E-03  0.528689888139E-07  0.310283133148E-11  0.619017771477E-16 -0.497494910154E-04  0.104359212566       1497.28230823      0.108471013246       1500.05018581       24.9920277269       615.000000000       615.000000000       811.000000000       811.000000000       16900.0005847       16900.0005027      0.397972081143      0.402643017607       7200.59277790       7200.59276044       799.009250015       799.004596541       999.407225716       999.407239522       2.99793474525      0.800052937998       1.20011634817       2.99987540746      0.299949488329      0.230004988613      0.230000046458      0.230000650324      0.229999349676     I_ion= -1126.52065859     H_y(t=t^{0,0,N})_tookSecs: 0.160000000000E-01
   8  -69.9624684714      -80.0942288924       5.90001894412       150.899999979       5.89999993967       12.6999999890       131.999996269       133.000000041      0.947479235943E-02  0.995199992517      0.369444225358E-01  0.497861386740      0.581000018289      0.946576749034E-02  0.995200103994      0.357627734669E-01  0.498107404332      0.581000040134      0.197629439514E-05  0.895647359003E-08  0.873550051832E-11  0.306065522827E-14  0.360272412241E-18  0.999622563167      0.375398704140E-03  0.528661219395E-07  0.325678483568E-11  0.731965771948E-16 -0.497494911415E-04  0.102011568949       1500.00027540      0.108498234193       1500.02312421       24.9920265587       615.000000000       615.000000000       811.000000000       811.000000000       16900.0005063       16900.0005035      0.398104655471      0.402619419813       7200.59277864       7200.59276115       799.009116702       799.004619431       999.407224931       999.407238815       2.99793438690      0.800052949462       1.20011635392       2.99987539090      0.299949488164      0.230004988616      0.230000046458      0.230000650324      0.229999349676     I_ion= -1126.51706080     H_y(t=t^{0,0,N})_tookSecs: 0.320000000000E-01
  16  -69.9623766104      -80.0942610320       5.90001894599       150.899999979       5.89999993970       12.6999999890       131.999996269       133.000000041      0.947477051503E-02  0.995199992557      0.369432977963E-01  0.497861800465      0.581000018289      0.946576795665E-02  0.995200103745      0.357628509806E-01  0.498107389509      0.581000040132      0.198374056778E-05  0.894176790547E-08  0.878902204232E-11  0.317068534307E-14  0.394902863525E-18  0.999622551704      0.375402736550E-03  0.528653966638E-07  0.329520147588E-11  0.764096063721E-16 -0.497494911730E-04  0.102005838941       1500.00102518      0.108503944337       1500.02312348       24.9920262949       615.000000000       615.000000000       811.000000000       811.000000000       16900.0005063       16900.0005035      0.398078020201      0.402614108630       7200.59277875       7200.59276133       799.009143226       799.004624561       999.407224812       999.407238634       2.99793430595      0.800052952052       1.20011635522       2.99987538717      0.299949488122      0.230004988617      0.230000046458      0.230000650324      0.229999349676     I_ion= -1126.51616920     H_y(t=t^{0,0,N})_tookSecs: 0.680000000000E-01
  32  -69.9623537462      -80.0942690310       5.90001894645       150.899999979       5.89999993970       12.6999999890       131.999996269       133.000000041      0.947476508921E-02  0.995199992567      0.369430172561E-01  0.497861903217      0.581000018289      0.946576807263E-02  0.995200103683      0.357628702151E-01  0.498107385821      0.581000040132      0.198488568577E-05  0.893858248763E-08  0.880193981073E-11  0.319947097368E-14  0.404557852891E-18  0.999622549559      0.375403739352E-03  0.528652142080E-07  0.330479628618E-11  0.772613579818E-16 -0.497494911809E-04  0.102015430956       1500.00077324      0.108505304823       1500.02312576       24.9920262317       615.000000000       615.000000000       811.000000000       811.000000000       16900.0005064       16900.0005035      0.398071066970      0.402612838621       7200.59277878       7200.59276138       799.009150149       799.004625785       999.407224780       999.407238588       2.99793428658      0.800052952671       1.20011635553       2.99987538628      0.299949488111      0.230004988617      0.230000046458      0.230000650324      0.229999349676     I_ion= -1126.51594727     H_y(t=t^{0,0,N})_tookSecs: 0.132000000000    
  64  -69.9623480428      -80.0942710263       5.90001894657       150.899999979       5.89999993971       12.6999999890       131.999996269       133.000000041      0.947476373711E-02  0.995199992570      0.369429471958E-01  0.497861928821      0.581000018289      0.946576810155E-02  0.995200103667      0.357628750058E-01  0.498107384901      0.581000040131      0.198512440696E-05  0.893782681406E-08  0.880511901202E-11  0.320682360671E-14  0.407101031965E-18  0.999622549071      0.375403989399E-03  0.528651684496E-07  0.330719379636E-11  0.774803464588E-16 -0.497494911828E-04  0.102018325773       1500.00072011      0.108505637630       1500.02312613       24.9920262163       615.000000000       615.000000000       811.000000000       811.000000000       16900.0005064       16900.0005035      0.398069377220      0.402612527948       7200.59277879       7200.59276139       799.009151832       799.004626084       999.407224771       999.407238576       2.99793428185      0.800052952823       1.20011635561       2.99987538606      0.299949488108      0.230004988617      0.230000046458      0.230000650324      0.229999349676     I_ion= -1126.51589191     H_y(t=t^{0,0,N})_tookSecs: 0.260000000000    
 128  -69.9623466185      -80.0942715245       5.90001894659       150.899999979       5.89999993971       12.6999999890       131.999996269       133.000000041      0.947476339963E-02  0.995199992570      0.369429296898E-01  0.497861935212      0.581000018289      0.946576810877E-02  0.995200103663      0.357628762012E-01  0.498107384671      0.581000040131      0.198517957276E-05  0.893764225102E-08  0.880590783791E-11  0.320868110669E-14  0.407753298168E-18  0.999622548954      0.375404051829E-03  0.528651569918E-07  0.330779302339E-11  0.775358491843E-16 -0.497494911833E-04  0.102019083934       1500.00070797      0.108505719954       1500.02312620       24.9920262125       615.000000000       615.000000000       811.000000000       811.000000000       16900.0005064       16900.0005035      0.398068962960      0.402612451115       7200.59277879       7200.59276139       799.009152244       799.004626158       999.407224769       999.407238573       2.99793428067      0.800052952860       1.20011635563       2.99987538601      0.299949488108      0.230004988617      0.230000046458      0.230000650324      0.229999349676     I_ion= -1126.51587808     H_y(t=t^{0,0,N})_tookSecs: 0.520000000000    
 256  -69.9623462626      -80.0942716490       5.90001894660       150.899999979       5.89999993971       12.6999999890       131.999996269       133.000000041      0.947476331532E-02  0.995199992570      0.369429253143E-01  0.497861936809      0.581000018289      0.946576811058E-02  0.995200103662      0.357628764998E-01  0.498107384614      0.581000040131      0.198519286791E-05  0.893759661919E-08  0.880610431361E-11  0.320914788841E-14  0.407918441808E-18  0.999622548925      0.375404067427E-03  0.528651541250E-07  0.330794281124E-11  0.775498192713E-16 -0.497494911834E-04  0.102019276533       1500.00070506      0.108505740427       1500.02312621       24.9920262115       615.000000000       615.000000000       811.000000000       811.000000000       16900.0005064       16900.0005035      0.398068860495      0.402612432010       7200.59277879       7200.59276139       799.009152346       799.004626177       999.407224768       999.407238573       2.99793428038      0.800052952869       1.20011635563       2.99987538599      0.299949488107      0.230004988617      0.230000046458      0.230000650324      0.229999349676     I_ion= -1126.51587463     H_y(t=t^{0,0,N})_tookSecs:  1.04000000000    
 512  -69.9623461737      -80.0942716801       5.90001894660       150.899999979       5.89999993971       12.6999999890       131.999996269       133.000000041      0.947476329426E-02  0.995199992570      0.369429242206E-01  0.497861937207      0.581000018289      0.946576811103E-02  0.995200103662      0.357628765744E-01  0.498107384599      0.581000040131      0.198519613339E-05  0.893758527288E-08  0.880615334212E-11  0.320926488402E-14  0.407959988486E-18  0.999622548918      0.375404071325E-03  0.528651534081E-07  0.330798025583E-11  0.775533235909E-16 -0.497494911835E-04  0.102019324998       1500.00070435      0.108505745532       1500.02312622       24.9920262113       615.000000000       615.000000000       811.000000000       811.000000000       16900.0005064       16900.0005035      0.398068835021      0.402612427246       7200.59277879       7200.59276139       799.009152371       799.004626181       999.407224768       999.407238573       2.99793428031      0.800052952872       1.20011635563       2.99987538599      0.299949488107      0.230004988617      0.230000046458      0.230000650324      0.229999349676     I_ion= -1126.51587376     H_y(t=t^{0,0,N})_tookSecs:  2.06800000000    
