# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:08;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;1;0;3.09944e-06;1;4.05312e-06;1;0;1;7.89165e-05;1;0.0772936;10000;0.0115774;10001;0.130229;10001;normal;none;lu;71786496;4096;41672704;440418304;1;0;strong_scaling_diffusion_lu;0.3;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:08;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;2;0;1.90735e-06;1;1.50204e-05;1;0;1;0.000182867;1;0.117739;10000;0.0146267;10001;0.198419;10001;normal;none;lu;72044544;4096;43454464;587542528;1;0;strong_scaling_diffusion_lu;0.52;101;100;101;10000;
2019/8/20 11:10:08;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;2;1;1.90735e-06;1;0.00505519;1;0;1;0.000181913;1;0.117384;10000;0.0150399;10001;0.1943;10001;normal;none;lu;72077312;4096;43528192;587575296;1;0;strong_scaling_diffusion_lu;0.48;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:09;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;3;0;1.90735e-06;1;0.052712;1;0;1;0.000253916;1;0.116082;10000;0.0156622;10001;0.193846;10001;normal;none;lu;72065024;4096;43753472;591761408;1;0;strong_scaling_diffusion_lu;0.5;101;100;101;10000;
2019/8/20 11:10:09;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;3;1;9.53674e-07;1;0.0650949;1;0;1;0.000261068;1;0.0833654;10000;0.00931215;10001;0.135936;10001;normal;none;lu;72105984;4096;43962368;591802368;1;0;strong_scaling_diffusion_lu;0.36;101;100;101;10000;
2019/8/20 11:10:09;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;3;2;1.90735e-06;1;2.21729e-05;1;0;1;0.000253916;1;0.115508;10000;0.0128689;10001;0.190177;10001;normal;none;lu;72028160;4096;43728896;591724544;1;0;strong_scaling_diffusion_lu;0.46;101;100;101;10000;
# timestamp;hostname;version;nRanks;rankNo;durationAssembleBoundaryConditions;n;durationReadGeometry;n;durationSetRightHandSide;n;durationSetStiffnessMatrix;n;durationSolve_implicitSolver;n;durationWriteOutput;n;duration_diffusion_1D_ImplicitEuler;n;exit;implicitSolver_preconditionerType;implicitSolver_solverType;memoryData;memoryPage;memoryResidentSet;memoryVirtual;nIterations_implicitSolver;residualNorm_implicitSolver;scenarioName;totalUsertime;~nDofs;~nElements;~nNodes;nIterationsTotal_implicitSolver;
2019/8/20 11:10:09;lapsgs19;opendihu 1.0, build Aug  9 2019 10:45:43, C++ 201402, GCC 5.4.0 20160609;4;0;3.09944e-06;1;0.0488949;1;0;1;0.000286102;1;0.126574;10000;0.015651;10001;0.220153;10001;normal;none;lu;72073216;4096;43585536;595968000;1;0;strong_scaling_diffusion_lu;0.52;101;100;101;10000;
